"filename", "language", "JSON", "C++", "YAML", "XML", "Dart", "HTML", "Markdown", "Swift", "Groovy", "Properties", "comment", "blank", "total"
"c:\YAGO\TFG\Flutter\tfg_v7 - fav\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 6, 12
"c:\YAGO\TFG\Flutter\tfg_v7 - fav\analysis_options.yaml", "YAML", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 23, 4, 30
"c:\YAGO\TFG\Flutter\tfg_v7 - fav\android\app\build.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 0, 56, 0, 5, 13, 74
"c:\YAGO\TFG\Flutter\tfg_v7 - fav\android\app\google-services.json", "JSON", 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 46
"c:\YAGO\TFG\Flutter\tfg_v7 - fav\android\app\src\debug\AndroidManifest.xml", "XML", 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 4, 1, 10
"c:\YAGO\TFG\Flutter\tfg_v7 - fav\android\app\src\main\AndroidManifest.xml", "XML", 0, 0, 0, 29, 0, 0, 0, 0, 0, 0, 6, 1, 36
"c:\YAGO\TFG\Flutter\tfg_v7 - fav\android\app\src\main\res\drawable-v21\launch_background.xml", "XML", 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 7, 2, 13
"c:\YAGO\TFG\Flutter\tfg_v7 - fav\android\app\src\main\res\drawable\launch_background.xml", "XML", 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 7, 2, 13
"c:\YAGO\TFG\Flutter\tfg_v7 - fav\android\app\src\main\res\values-night\styles.xml", "XML", 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 9, 1, 19
"c:\YAGO\TFG\Flutter\tfg_v7 - fav\android\app\src\main\res\values\styles.xml", "XML", 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 9, 1, 19
"c:\YAGO\TFG\Flutter\tfg_v7 - fav\android\app\src\profile\AndroidManifest.xml", "XML", 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 4, 1, 10
"c:\YAGO\TFG\Flutter\tfg_v7 - fav\android\build.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 0, 28, 0, 0, 5, 33
"c:\YAGO\TFG\Flutter\tfg_v7 - fav\android\gradle.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 1, 4
"c:\YAGO\TFG\Flutter\tfg_v7 - fav\android\gradle\wrapper\gradle-wrapper.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 1, 6
"c:\YAGO\TFG\Flutter\tfg_v7 - fav\android\settings.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 4, 12
"c:\YAGO\TFG\Flutter\tfg_v7 - fav\assets\svg\cartoon_brain.svg", "XML", 0, 0, 0, 232, 0, 0, 0, 0, 0, 0, 1, 2, 235
"c:\YAGO\TFG\Flutter\tfg_v7 - fav\assets\svg\dibujo.svg", "XML", 0, 0, 0, 268, 0, 0, 0, 0, 0, 0, 1, 2, 271
"c:\YAGO\TFG\Flutter\tfg_v7 - fav\assets\svg\dibujo_logo.svg", "XML", 0, 0, 0, 296, 0, 0, 0, 0, 0, 0, 1, 2, 299
"c:\YAGO\TFG\Flutter\tfg_v7 - fav\assets\svg\dibujo_logo_cara.svg", "XML", 0, 0, 0, 352, 0, 0, 0, 0, 0, 0, 1, 2, 355
